"","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"4",0,1,0,1,1,1,0,0,1,0,0,0,1
"6",1,1,1,0,0,1,0,0,1,0,1,0,0
"9",0,1,0,0,0,1,0,0,1,0,1,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,1,0
"15",0,0,0,0,0,0,0,0,0,0,1,0,0
"16",0,1,1,0,1,1,0,0,1,0,1,0,0
"18",0,0,1,0,0,1,0,0,1,0,0,0,0
"19",1,0,1,0,0,1,0,0,1,0,1,0,0
"23",0,1,0,0,0,0,0,1,1,0,0,1,0
"32",0,1,0,0,1,1,0,0,0,0,0,0,1
"33",0,1,0,0,0,0,0,1,1,0,1,0,1
"36",0,1,1,1,0,1,1,0,1,1,1,0,1
"38",0,0,1,0,0,1,0,0,1,1,1,0,0
"39",0,1,0,0,0,0,0,1,1,0,0,1,0
"42",0,1,1,0,0,1,0,0,1,0,1,0,1
"43",1,1,0,0,0,0,0,0,0,0,0,1,0
"44",0,0,0,0,0,0,0,0,1,0,1,1,0
"46",0,0,1,0,0,1,1,0,1,0,1,0,1
"49",1,0,0,0,0,0,0,1,1,0,0,1,0
"61",1,0,0,0,0,0,0,0,0,0,0,1,0
"66",0,0,0,0,0,1,0,0,0,0,0,1,0
"67",0,0,0,0,0,0,1,0,1,0,1,1,1
"69",0,0,0,0,0,1,0,0,0,0,1,0,1
"74",0,1,1,0,1,1,0,0,1,1,1,0,0
"78",0,0,1,0,0,0,0,0,0,0,0,0,0
"80",1,1,1,0,0,1,1,0,1,0,0,0,0
"82",0,1,0,0,0,0,0,0,0,1,1,0,0
"83",1,1,0,0,0,0,1,0,1,0,0,1,1
"84",0,0,0,0,0,1,0,0,1,0,0,0,0
"85",1,1,1,0,0,1,1,0,1,0,1,0,1
"87",1,1,0,1,0,1,0,1,1,0,0,0,0
"88",0,0,0,0,0,0,0,0,1,0,1,1,0
"89",0,1,0,1,0,0,0,0,0,0,0,1,0
"92",0,1,0,0,0,0,0,0,0,1,1,0,1
"93",0,1,0,0,1,0,0,0,1,0,1,1,0
"101",0,0,0,0,0,0,0,0,0,0,1,1,1
"102",1,1,0,0,0,1,1,1,1,0,0,0,1
"104",1,0,0,0,0,0,0,0,1,0,0,1,0
"106",1,1,0,0,1,1,0,0,1,0,0,0,1
"107",0,1,0,1,0,0,0,0,1,0,1,0,0
"111",0,0,1,0,0,0,0,0,0,0,0,1,0
"113",1,1,0,0,0,1,0,0,1,0,1,0,0
"115",1,1,0,0,0,1,0,0,0,0,0,1,0
"117",1,0,0,1,0,0,0,0,0,0,0,1,1
"118",1,0,0,0,1,1,1,1,1,0,1,0,0
"121",0,1,0,1,0,1,1,0,1,1,1,0,1
"122",0,0,0,0,0,0,0,0,0,0,1,1,1
"133",0,0,1,0,0,1,0,1,1,0,0,0,1
"136",1,0,0,0,1,0,0,0,0,1,1,0,0
"139",0,1,0,1,0,0,0,1,1,0,0,1,0
"140",1,1,1,1,1,1,0,0,1,0,1,0,0
"145",0,0,0,0,0,0,0,0,0,0,1,1,1
"146",0,1,0,0,0,0,0,0,0,0,1,1,1
"151",1,1,0,0,0,1,0,1,1,1,0,0,1
"152",0,0,0,0,0,0,0,0,0,0,1,1,1
"158",0,0,0,0,0,0,0,0,0,0,0,1,1
"161",1,1,1,0,0,0,0,0,0,0,0,0,1
"170",0,1,0,0,0,0,0,0,1,0,1,1,1
"171",0,1,0,0,0,1,0,0,1,0,1,0,0
"181",0,0,0,1,1,1,0,0,1,0,0,0,1
"182",0,0,0,0,0,0,0,0,0,0,0,1,0
"186",0,1,1,0,0,1,0,0,1,1,1,0,0
"192",0,0,0,0,0,0,0,0,0,0,0,1,1
"194",0,1,0,0,0,0,0,0,1,0,1,1,0
"200",0,1,1,0,0,1,1,0,1,1,1,0,1
"204",1,0,0,0,0,0,0,0,1,0,1,0,0
"205",1,0,1,0,0,1,0,0,1,1,1,0,0
"206",0,1,0,0,0,0,0,0,0,0,1,1,1
"208",0,1,0,0,0,0,0,0,0,0,1,0,1
"214",0,1,0,0,1,0,0,0,1,0,1,0,0
"217",0,0,0,0,0,0,0,0,0,0,0,1,1
"226",0,0,0,0,0,0,0,0,0,0,1,1,1
"228",1,1,0,0,1,1,0,0,1,1,1,0,0
"235",0,1,0,0,0,0,0,0,0,0,1,1,1
"236",0,1,1,1,0,1,1,0,1,0,0,0,0
"237",0,1,0,1,0,0,0,0,1,0,0,1,1
"241",0,0,0,0,0,0,0,0,0,0,1,1,0
"244",0,0,0,0,0,0,0,0,0,1,0,0,1
"245",0,1,0,0,0,0,0,0,1,0,1,1,1
"246",0,1,1,0,0,1,0,0,1,0,1,0,1
"247",0,1,0,0,1,0,0,0,0,0,0,0,0
"248",0,0,0,0,0,1,1,0,1,0,1,0,1
"249",0,1,1,1,0,1,1,1,1,0,1,0,1
"251",0,1,1,0,0,1,0,1,1,1,0,0,1
"252",0,0,0,0,0,0,0,0,0,0,1,1,1
"255",1,0,1,0,0,0,0,0,0,1,1,0,0
"257",0,0,0,0,0,0,0,0,0,0,0,1,0
